classifier,n,Lhat,trainTime,testTime,iterate
MLP, 100, 0.488000000, 0.655559778, 0.002866030, 5
MLP, 100, 0.504000000, 0.489938021, 0.002778292, 6
MLP, 100, 0.512000000, 0.528009892, 0.002546787, 7
MLP, 100, 0.494000000, 0.555852890, 0.002552986, 8
MLP, 100, 0.475000000, 0.641637087, 0.003052950, 9
S-RerF, 100, 0.511000000, 0.077095032, 0.010248899, 0
S-RerF, 100, 0.505000000, 0.066887856, 0.006836176, 1
S-RerF, 100, 0.497000000, 0.064300060, 0.008282900, 2
S-RerF, 100, 0.515000000, 0.069590807, 0.006647110, 3
S-RerF, 100, 0.482000000, 0.062068939, 0.006275177, 4
S-RerF, 100, 0.503000000, 0.063930035, 0.006198645, 5
S-RerF, 100, 0.498000000, 0.060344219, 0.012837172, 6
S-RerF, 100, 0.497000000, 0.062190771, 0.010663033, 7
S-RerF, 100, 0.503000000, 0.064675808, 0.006182909, 8
S-RerF, 100, 0.492000000, 0.062334061, 0.007371664, 9
MT-MORF, 100, 0.480000000, 0.067559958, 0.006080151, 0
MT-MORF, 100, 0.504000000, 0.082653999, 0.007346869, 1
MT-MORF, 100, 0.496000000, 0.070399046, 0.009071112, 2
MT-MORF, 100, 0.507000000, 0.071394205, 0.013081074, 3
MT-MORF, 100, 0.493000000, 0.076265812, 0.006525040, 4
MT-MORF, 100, 0.476000000, 0.070154905, 0.008194923, 5
MT-MORF, 100, 0.495000000, 0.066277266, 0.007678986, 6
MT-MORF, 100, 0.495000000, 0.068332195, 0.018836021, 7
MT-MORF, 100, 0.517000000, 0.066869020, 0.007609129, 8
MT-MORF, 100, 0.502000000, 0.074954033, 0.034096956, 9
Log. Reg, 200, 0.488000000, 0.012757063, 0.000870705, 0
Log. Reg, 200, 0.472000000, 0.011421204, 0.000752926, 1
Log. Reg, 200, 0.492000000, 0.012682676, 0.000850201, 2
Log. Reg, 200, 0.534000000, 0.011219025, 0.000762939, 3
Log. Reg, 200, 0.490000000, 0.011904001, 0.000759125, 4
Log. Reg, 200, 0.531000000, 0.011085033, 0.000690937, 5
Log. Reg, 200, 0.500000000, 0.010815144, 0.000776291, 6
Log. Reg, 200, 0.477000000, 0.013200045, 0.000714064, 7
Log. Reg, 200, 0.506000000, 0.014070988, 0.000813961, 8
Log. Reg, 200, 0.500000000, 0.011026859, 0.000804901, 9
Lin. SVM, 200, 0.486000000, 0.207432985, 0.000733852, 0
Lin. SVM, 200, 0.514000000, 0.210691929, 0.000769854, 1
Lin. SVM, 200, 0.486000000, 0.216058254, 0.000717878, 2
Lin. SVM, 200, 0.518000000, 0.207355022, 0.000792742, 3
Lin. SVM, 200, 0.482000000, 0.214429140, 0.000913143, 4
Lin. SVM, 200, 0.505000000, 0.198234081, 0.001017809, 5
